NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,START_DEPTH_M,END_DEPTH_M,TEMPERATURE_C,VISIBILITY_M
KEEN ONE,Humphries,2016,8,23,Fort Weatherill,1,41.47721454,-71.36642105,NA,NA,6,8,21.11111111,2
KEEN ONE,Humphries,2016,8,23,Fort Weatherill,2,41.47691467,-71.36357102,NA,NA,9,6,21.11111111,2
KEEN ONE,Humphries,2016,8,24,Fort Weatherill,3,41.47812973,-71.36173505,NA,NA,9,8,20,1.5
KEEN ONE,Humphries,2016,8,24,Fort Weatherill,4,41.47746688,-71.35942296,NA,NA,7,8,18.88888889,2
KEEN ONE,Humphries,2017,8,29,Fort Weatherill,1,41.47724303,-71.36642105,NA,NA,10,7,18.88888889,3
KEEN ONE,Humphries,2017,8,29,Fort Weatherill,2,41.47694302,-71.36357101,NA,NA,8,9,18.88888889,2.5
KEEN ONE,Humphries,2017,8,31,Fort Weatherill,3,41.47815799,-71.36173505,NA,NA,9,8,17.77777778,2
KEEN ONE,Humphries,2017,8,31,Fort Weatherill,4,41.47749503,-71.35942296,NA,NA,7,10,18.88888889,1.5
KEEN ONE,Humphries,2018,9,10,Fort Weatherill,1,41.4773,-71.36640278,41.47737222,-71.36640278,9,9,20,1
KEEN ONE,Humphries,2018,9,10,Fort Weatherill,2,41.477025,-71.36355,41.47675,-71.36396667,7.5,7.5,20,1.5
KEEN ONE,Humphries,2018,9,7,Fort Weatherill,3,41.47818611,-71.36166944,41.47782778,-71.3616,8,7,18.8889,2.5
KEEN ONE,Humphries,2018,9,24,Fort Weatherill,4,41.47749722,-71.35941667,41.47716111,-71.35944167,8,8,18.8889,2
